#
 0,    gemini/exploit,20,  0.27,  0.11,       ---  *    -   |                   ,  0.15,  0.37, 143.75
 0,             DEHB,100,  0.28,  0.03,         --- *--     |                   ,  0.21,  0.33, 108.51
 0,       gpt/exploit,30,  0.29,  0.05,           - * ----- |                   ,  0.21,  0.43, 301.90
 0,           UCB_GPM,25,  0.29,  0.07,          -  * ---   |                   ,  0.20,  0.39, 158.98
 0,           exploit,30,  0.29,  0.06,          -  * ------|                   ,  0.13,  0.43, 10.79
 0,       gpt/exploit,20,  0.30,  0.04,        ----  *--    |                   ,  0.13,  0.40, 382.54
 0,            EI_GPM,30,  0.30,  0.06,         --   *---   |                   ,  0.13,  0.37, 153.13
 0,    gemini/exploit,30,  0.30,  0.08,          --  *  --- |                   ,  0.10,  0.41, 96.00
 0,           exploit,20,  0.30,  0.07,           -  *  --- |                   ,  0.11,  0.40, 17.89
 0,            PI_GPM,20,  0.30,  0.05,          --- * ---  |                   ,  0.15,  0.40, 3402.22
 0,            EI_GPM,25,  0.30,  0.07,      ------  * --   |                   ,  0.11,  0.40, 160.04
 0,            PI_GPM,30,  0.31,  0.05,      ------  *----  |                   ,  0.13,  0.38, 154.45
 0,           UCB_GPM,20,  0.31,  0.05,        ----- *  --  |                   ,  0.18,  0.38, 1687.58
 0,       gpt/exploit,25,  0.31,  0.07,           -  *  --  |                   ,  0.19,  0.39, 294.88
 0,            EI_GPM,20,  0.31,  0.05,           -- *  --- |                   ,  0.22,  0.40, 3784.52
 0,            PI_GPM,25,  0.31,  0.05,        ----  *---   |                   ,  0.13,  0.38, 160.98
 0,    gemini/exploit,25,  0.32,  0.07,         ---   *---  |                   ,  0.21,  0.45, 93.01
 0,           exploit,25,  0.33,  0.05,           ---  *--  |                   ,  0.17,  0.38, 10.99
#
 1,           UCB_GPM,30,  0.33,  0.06,         ----   *----|-                  ,  0.13,  0.44, 153.92
 1,               TPE,30,  0.34,  0.06,            --  * -- |                   ,  0.13,  0.41, 1654.60
 1,              DEHB,30,  0.34,  0.08,           ---   *  -|                   ,  0.21,  0.43, 99.35
#
 2,              DEHB,25,  0.35,  0.07,            --   * --|                   ,  0.23,  0.45, 98.28
 2,            random,30,  0.36,  0.07,           ----- *   |--                 ,  0.25,  0.47, 0.00
 2,               TPE,25,  0.36,  0.06,            ----  * -|                   ,  0.23,  0.44, 1476.06
 2,            random,20,  0.37,  0.06,              -   *--|                   ,  0.26,  0.44, 0.00
#
 3,              DEHB,20,  0.37,  0.05,              --- * -|-----              ,  0.23,  0.51, 97.36
 3,               TPE,20,  0.38,  0.08,              ---- * | --                ,  0.28,  0.51, 8251.73
 3,       gpt/explore,20,  0.38,  0.05,             ----- * |-------            ,  0.26,  0.55, 312.94
 3,            random,25,  0.39,  0.05,                -  * |---                ,  0.25,  0.49, 0.00
 3,    gemini/explore,20,  0.39,  0.08,                --  *| ---               ,  0.26,  0.56, 145.18
 3,       gpt/explore,25,  0.40,  0.07,               --   *|--------           ,  0.24,  0.58, 297.33
#
 4,       gpt/explore,30,  0.40,  0.06,                 -- *| ----              ,  0.25,  0.53, 290.95
 4,               rrp,17,  0.42,  0.12,            -----    *   ---             ,  0.19,  0.71, 151.89
 4,    gemini/explore,25,  0.42,  0.05,               ----  *--                 ,  0.24,  0.55, 92.17
 4,           explore,25,  0.42,  0.07,                  ---|*  -------         ,  0.34,  0.58, 10.98
 4,    gemini/explore,30,  0.42,  0.07,                --   |*-----             ,  0.23,  0.58, 99.82
#
 5,           explore,20,  0.43,  0.15,                 -   |*     -----        ,  0.33,  0.60, 17.12
 5,       baseline,65536,  0.44,  0.10,               ----  | *  ---            ,  0.10,  0.68, 0.26
 5,           explore,30,  0.44,  0.06,             ------- | *---              ,  0.27,  0.52, 10.68
