#
 0,            EI_GPM,20,  0.23,  0.01,     ---------*-     |                   ,  0.06,  0.25, 3799.57
 0,            PI_GPM,30,  0.23,  0.02,              *-     |                   ,  0.21,  0.25, 157.25
 0,           UCB_GPM,25,  0.23,  0.01,               *     |                   ,  0.10,  0.25, 160.72
 0,            PI_GPM,25,  0.23,  0.01,             - *-    |                   ,  0.01,  0.28, 157.84
#
 1,           UCB_GPM,30,  0.23,  0.02,             - *-----|--                 ,  0.00,  0.39, 156.25
 1,            EI_GPM,30,  0.24,  0.02,               *-    |                   ,  0.01,  0.41, 158.45
 1,           UCB_GPM,20,  0.24,  0.01,   ----------- *-    |                   ,  0.00,  0.36, 1615.23
 1,            PI_GPM,20,  0.24,  0.02,              -*-----|                   ,  0.06,  0.37, 3405.92
 1,            EI_GPM,25,  0.24,  0.01,              -*     |                   ,  0.04,  0.37, 160.35
#
 2,    gemini/exploit,20,  0.24,  0.13,              -*     | ---               ,  0.22,  0.47, 136.09
 2,             DEHB,100,  0.25,  0.01,               *-    |                   ,  0.24,  0.33, 103.27
 2,    gemini/exploit,25,  0.25,  0.05,              - * ---|---                ,  0.22,  0.42, 97.81
 2,    gemini/exploit,30,  0.25,  0.04,              - *----|--                 ,  0.22,  0.42, 86.42
 2,       gpt/exploit,25,  0.26,  0.04,              - *----|---                ,  0.22,  0.41, 299.45
#
 3,           exploit,20,  0.26,  0.13,                *    | ---               ,  0.22,  0.42, 24.74
 3,           exploit,30,  0.26,  0.11,                *    |---                ,  0.23,  0.40, 11.26
 3,               rrp,17,  0.26,  0.10,              --*    |-----              ,  0.06,  0.43, 151.91
 3,           exploit,25,  0.27,  0.10,              -  *   |---                ,  0.22,  0.40, 15.29
 3,       gpt/exploit,30,  0.27,  0.11,               - *   | --                ,  0.22,  0.41, 287.20
#
 4,               TPE,25,  0.29,  0.12,               -- *  |   --              ,  0.24,  0.47, 1829.34
 4,            random,30,  0.29,  0.06,                - *  |----               ,  0.22,  0.47, 0.00
 4,               TPE,30,  0.29,  0.08,               -- *  |-----              ,  0.22,  0.44, 2070.76
 4,            random,20,  0.30,  0.12,               --  * |   ---             ,  0.24,  0.46, 0.00
 4,            random,25,  0.32,  0.11,                --- *|   ---             ,  0.22,  0.47, 0.00
#
 5,              DEHB,20,  0.32,  0.15,                --  *|     --            ,  0.23,  0.46, 97.45
 5,              DEHB,25,  0.34,  0.13,                -    *    --             ,  0.25,  0.46, 97.79
 5,               TPE,20,  0.37,  0.13,                --   | *  -              ,  0.25,  0.47, 8921.74
 5,       gpt/exploit,20,  0.37,  0.16,               -     | *  -------------  ,  0.22,  0.65, 301.09
 5,              DEHB,30,  0.40,  0.11,                ---  |   *--             ,  0.24,  0.49, 98.50
#
 6,       gpt/explore,20,  0.41,  0.17,                --   |    * ---          ,  0.23,  0.56, 306.46
 6,       gpt/explore,25,  0.42,  0.07,                 ----|-   *--            ,  0.23,  0.47, 301.50
 6,           explore,20,  0.43,  0.09,                  ---|    * ---          ,  0.27,  0.54, 25.13
 6,    gemini/explore,30,  0.43,  0.08,                  ---|--   * -----       ,  0.25,  0.64, 86.60
 6,       gpt/explore,30,  0.43,  0.13,                ---- |     *----         ,  0.22,  0.57, 286.83
 6,    gemini/explore,20,  0.45,  0.09,                 ----|-     *-           ,  0.25,  0.49, 105.37
#
 7,           explore,30,  0.46,  0.04,                     |   --- *---        ,  0.28,  0.53, 11.23
 7,    gemini/explore,25,  0.46,  0.18,               ---   |       *----       ,  0.23,  0.56, 97.87
 7,           explore,25,  0.47,  0.03,                     | ----- *---        ,  0.26,  0.54, 15.19
#
 8,       baseline,86058,  0.47,  0.06,                  ---|-----  * ---       ,  0.04,  0.61, 0.56
